anchor,positive,negative
"import sys
def next_smallest_palindrome(num):
    numstr = str(num)
    for i in range(num+1,sys.maxsize):
        if str(i) == str(i)[::-1]:
            return i","import sys


def var1(num):
    var2 = str(var3)
    for var4 in range(var3 + 1, var5.maxsize):
        if str(var4) == str(var4)[::-1]:
            return var4
","from typing import List

def all_prefixes(string: str) -> List[str]:
    result = []

    for i in range(len(string)):
        result.append(string[:i+1])
    return result"
"def multiply_elements(test_tup):
  res = tuple(i * j for i, j in zip(test_tup, test_tup[1:]))
  return (res)","def var1(test_tup):
    var2 = tuple(var3 * var4 for var3, var4 in zip(var5, var5[1:]))
    return var2
","def square_Sum(n):  
    return int(2*n*(n+1)*(2*n+1)/3)"
"def check_monthnumb_number(monthnum2):
  if(monthnum2==1 or monthnum2==3 or monthnum2==5 or monthnum2==7 or monthnum2==8 or monthnum2==10 or monthnum2==12):
    return True
  else:
    return False","def var1(monthnum2):
    if (var2 == 1 or var2 == 3 or var2 == 5 or var2 == 7 or var2 == 8 or 
        var2 == 10 or var2 == 12):
        return True
    else:
        return False
","def last_Digit(n) :
    return (n % 10) "
"def pos_count(list):
  pos_count= 0
  for num in list: 
    if num >= 0: 
      pos_count += 1
  return pos_count","def var1(list):
    var1 = 0
    for var2 in list:
        if var2 >= 0:
            var1 += 1
    return var1
","from typing import List

def remove_duplicates(numbers: List[int]) -> List[int]:
    import collections
    c = collections.Counter(numbers)
    return [n for n in numbers if c[n] <= 1]"
"def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True","def var1(my_matrix):
    var2 = len(var3[0])
    var4 = []
    var4.extend([sum(var5) for var5 in var3])
    for var6 in range(var2):
        var4.append(sum(var7[var6] for var7 in var3))
    var8 = 0
    for var9 in range(0, var2):
        var8 += var3[var9][var9]
    var4.append(var8)
    var10 = 0
    for var9 in range(var2 - 1, -1, -1):
        var10 += var3[var9][var9]
    var4.append(var10)
    if len(set(var4)) > 1:
        return False
    return True
","def largest_subset(a):
	n = len(a)
	dp = [0 for i in range(n)]
	dp[n - 1] = 1; 
	for i in range(n - 2, -1, -1):
		mxm = 0;
		for j in range(i + 1, n):
			if a[j] % a[i] == 0 or a[i] % a[j] == 0:
				mxm = max(mxm, dp[j])
		dp[i] = 1 + mxm
	return max(dp)"
"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)","def var1(num):
    var2 = 0
    while var3 > 0:
        var2 = var2 * 10 + var3 % 10
        var3 = var3 // 10
    return var2


def var4(n):
    return 2 * var1(var5) == var5 + 1
","def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False"
"def rounded_avg(n, m):
    if m < n:
        return -1
    summation = 0
    for i in range(n, m+1):
        summation += i
    return bin(round(summation/(m - n + 1)))","def var1(n, m):
    if var2 < var3:
        return -1
    var4 = 0
    for var5 in range(var3, var2 + 1):
        var4 += var5
    return bin(round(var4 / (var2 - var3 + 1)))
","def is_sublist(l, s):
	sub_set = False
	if s == []:
		sub_set = True
	elif s == l:
		sub_set = True
	elif len(s) > len(l):
		sub_set = False
	else:
		for i in range(len(l)):
			if l[i] == s[0]:
				n = 1
				while (n < len(s)) and (l[i+n] == s[n]):
					n += 1				
				if n == len(s):
					sub_set = True
	return sub_set"
"def remove_vowels(text):
    return """".join([s for s in text if s.lower() not in [""a"", ""e"", ""i"", ""o"", ""u""]])","def var1(text):
    return ''.join([var2 for var2 in var3 if var2.lower() not in ['a', 'e',
        'i', 'o', 'u']])
","def add_lists(test_list, test_tup):
  res = tuple(list(test_tup) + test_list)
  return (res) "
"def next_smallest(lst):
    lst = sorted(set(lst))
    return None if len(lst) < 2 else lst[1]","def var1(lst):
    var2 = sorted(set(var2))
    return None if len(var2) < 2 else var2[1]
","def smallest_num(xs):
  return min(xs)
"
"def count_Set_Bits(n): 
    count = 0
    while (n): 
        count += n & 1
        n >>= 1
    return count","def var1(n):
    var2 = 0
    while var3:
        var2 += var3 & 1
        var3 >>= 1
    return var2
","def sort_matrix(M):
    result = sorted(M, key=sum)
    return result"
"from collections import defaultdict
def max_occurrences(nums):
    dict = defaultdict(int)
    for i in nums:
        dict[i] += 1
    result = max(dict.items(), key=lambda x: x[1]) 
    return result[0]","from collections import defaultdict


def var1(nums):
    dict = var2(int)
    for var3 in var4:
        dict[var3] += 1
    var5 = max(dict.items(), key=lambda x: var6[1])
    return var5[0]
","
def words_in_sentence(sentence):
    new_lst = []
    for word in sentence.split():
        flg = 0
        if len(word) == 1:
            flg = 1
        for i in range(2, len(word)):
            if len(word)%i == 0:
                flg = 1
        if flg == 0 or len(word) == 2:
            new_lst.append(word)
    return "" "".join(new_lst)"
"def big_sum(nums):
      sum= max(nums)+min(nums)
      return sum","def var1(nums):
    sum = max(var2) + min(var2)
    return sum
","
def anti_shuffle(s):
    return ' '.join([''.join(sorted(list(i))) for i in s.split(' ')])"
"def prime_num(num):
  if num >=1:
   for i in range(2, num//2):
     if (num % i) == 0:
                return False
     else:
                return True
  else:
          return False","def var1(num):
    if var2 >= 1:
        for var3 in range(2, var2 // 2):
            if var2 % var3 == 0:
                return False
            else:
                return True
    else:
        return False
","
def get_odd_collatz(n):
    if n%2==0:
        odd_collatz = [] 
    else:
        odd_collatz = [n]
    while n > 1:
        if n % 2 == 0:
            n = n/2
        else:
            n = n*3 + 1
            
        if n%2 == 1:
            odd_collatz.append(int(n))

    return sorted(odd_collatz)"
"import cmath  
def convert(numbers):    
  num = cmath.polar(numbers)  
  return (num)","import cmath


def var1(numbers):
    var2 = var3.polar(var4)
    return var2
","def replace_spaces(text):
  return """".join("" "" if c == ""_"" else (""_"" if c == "" "" else c) for c in text)"
"import math
def perimeter_pentagon(a):
  perimeter=(5*a)
  return perimeter","import math


def var1(a):
    var2 = 5 * var3
    return var2
","def even_ele(test_tuple, even_fnc): 
	res = tuple() 
	for ele in test_tuple: 
		if isinstance(ele, tuple): 
			res += (even_ele(ele, even_fnc), ) 
		elif even_fnc(ele): 
			res += (ele, ) 
	return res 
def extract_even(test_tuple):
  res = even_ele(test_tuple, lambda x: x % 2 == 0)
  return (res) "
"def max_element(l: list):
    m = l[0]
    for e in l:
        if e > m:
            m = e
    return m","def var1(l: list):
    var2 = var3[0]
    for var4 in var3:
        if var4 > var2:
            var2 = var4
    return var2
","def find_equal_tuple(Input):
  k = 0 if not Input else len(Input[0])
  flag = 1
  for tuple in Input:
    if len(tuple) != k:
      flag = 0
      break
  return flag
def get_equal(Input):
  return find_equal_tuple(Input) == 1"
"def compare(game,guess):
    return [abs(x-y) for x,y in zip(game,guess)]","def var1(game, guess):
    return [abs(var2 - var3) for var2, var3 in zip(var4, var5)]
","def sub_list(nums1,nums2):
  result = map(lambda x, y: x - y, nums1, nums2)
  return list(result)"
"def count_nums(arr):
    def digits_sum(n):
        neg = 1
        if n < 0: n, neg = -1 * n, -1 
        n = [int(i) for i in str(n)]
        n[0] = n[0] * neg
        return sum(n)
    return len(list(filter(lambda x: x > 0, [digits_sum(i) for i in arr])))","def var1(arr):

    def var2(n):
        var3 = 1
        if var4 < 0:
            var4, var3 = -1 * var4, -1
        var4 = [int(var5) for var5 in str(var4)]
        var4[0] = var4[0] * var3
        return sum(var4)
    return len(list(filter(lambda x: var6 > 0, [var2(var5) for var5 in var7])))
","def is_num_decagonal(n): 
	return 4 * n * n - 3 * n "
"import math
def sector_area(r,a):
    if a > 360:
        return None
    return (math.pi*r**2) * (a/360)","import math


def var1(r, a):
    if var2 > 360:
        return None
    return var3.pi * var4 ** 2 * (var2 / 360)
","from copy import deepcopy
def colon_tuplex(tuplex,m,n):
  tuplex_colon = deepcopy(tuplex)
  tuplex_colon[m].append(n)
  return tuplex_colon"
"def triples_sum_to_zero(l: list):
    for i in range(len(l)):
        for j in range(i + 1, len(l)):
            for k in range(j + 1, len(l)):
                if l[i] + l[j] + l[k] == 0:
                    return True
    return False","def var1(l: list):
    for var2 in range(len(var3)):
        for var4 in range(var2 + 1, len(var3)):
            for var5 in range(var4 + 1, len(var3)):
                if var3[var2] + var3[var4] + var3[var5] == 0:
                    return True
    return False
","def and_tuples(test_tup1, test_tup2):
  res = tuple(ele1 & ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res) "
"def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos","def var1(dlist, item):
    var2 = 0
    var3 = False
    while var2 < len(var4) and not var3:
        if var4[var2] == var5:
            var3 = True
        else:
            var2 = var2 + 1
    return var3, var2
","def empty_list(length):
 empty_list = [{} for _ in range(length)]
 return empty_list"
"def digits(n):
    product = 1
    odd_count = 0
    for digit in str(n):
        int_digit = int(digit)
        if int_digit%2 == 1:
            product= product*int_digit
            odd_count+=1
    if odd_count ==0:
        return 0
    else:
        return product","def var1(n):
    var2 = 1
    var3 = 0
    for var4 in str(var5):
        var6 = int(var4)
        if var6 % 2 == 1:
            var2 = var2 * var6
            var3 += 1
    if var3 == 0:
        return 0
    else:
        return var2
","def sort_sublists(list1):
    result = list(map(sorted,list1)) 
    return result"
"def fruit_distribution(s,n):
    lis = list()
    for i in s.split(' '):
        if i.isdigit():
            lis.append(int(i))
    return n - sum(lis)","def var1(s, n):
    var2 = list()
    for var3 in var4.split(' '):
        if var3.isdigit():
            var2.append(int(var3))
    return var5 - sum(var2)
","from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False"
"def median(l: list):
    l = sorted(l)
    if len(l) % 2 == 1:
        return l[len(l) // 2]
    else:
        return (l[len(l) // 2 - 1] + l[len(l) // 2]) / 2.0","def var1(l: list):
    var2 = sorted(var2)
    if len(var2) % 2 == 1:
        return var2[len(var2) // 2]
    else:
        return (var2[len(var2) // 2 - 1] + var2[len(var2) // 2]) / 2.0
","def find_Rotations(str): 
    tmp = str + str
    n = len(str) 
    for i in range(1,n + 1): 
        substring = tmp[i: i+n] 
        if (str == substring): 
            return i 
    return n "
"def numerical_letter_grade(grades):

   
    letter_grade = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grade.append(""A+"")
        elif gpa > 3.7:
            letter_grade.append(""A"")
        elif gpa > 3.3:
            letter_grade.append(""A-"")
        elif gpa > 3.0:
            letter_grade.append(""B+"")
        elif gpa > 2.7:
            letter_grade.append(""B"")
        elif gpa > 2.3:
            letter_grade.append(""B-"")
        elif gpa > 2.0:
            letter_grade.append(""C+"")
        elif gpa > 1.7:
            letter_grade.append(""C"")
        elif gpa > 1.3:
            letter_grade.append(""C-"")
        elif gpa > 1.0:
            letter_grade.append(""D+"")
        elif gpa > 0.7:
            letter_grade.append(""D"")
        elif gpa > 0.0:
            letter_grade.append(""D-"")
        else:
            letter_grade.append(""E"")
    return letter_grade","def var1(grades):
    var2 = []
    for var3 in var4:
        if var3 == 4.0:
            var2.append('A+')
        elif var3 > 3.7:
            var2.append('A')
        elif var3 > 3.3:
            var2.append('A-')
        elif var3 > 3.0:
            var2.append('B+')
        elif var3 > 2.7:
            var2.append('B')
        elif var3 > 2.3:
            var2.append('B-')
        elif var3 > 2.0:
            var2.append('C+')
        elif var3 > 1.7:
            var2.append('C')
        elif var3 > 1.3:
            var2.append('C-')
        elif var3 > 1.0:
            var2.append('D+')
        elif var3 > 0.7:
            var2.append('D')
        elif var3 > 0.0:
            var2.append('D-')
        else:
            var2.append('E')
    return var2
","def is_Diff(n): 
    return (n % 11 == 0) "
"def sum_even_and_even_index(arr):  
    i = 0
    sum = 0
    for i in range(0, len(arr),2): 
        if (arr[i] % 2 == 0) : 
            sum += arr[i]  
    return sum","def var1(arr):
    var2 = 0
    sum = 0
    for var2 in range(0, len(var3), 2):
        if var3[var2] % 2 == 0:
            sum += var3[var2]
    return sum
","def power_base_sum(base, power):
    return sum([int(i) for i in str(pow(base, power))])"
